,idno,author,author-gender,title,year,supergenre,genre,subgenre,subsubgenre,genre-label,genre-subtitle,narration,protagonist-gender,protagonist-policier,setting,availability,tei,status,decade
rf0300,rf0300,Aimard,male,Forestier,1869,narrative,novel,blanche,blanche,n.av.,n.av.,heterodiegetic,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1860s
rf1175,rf1175,Ponson,male,MiseresLondres4,1868,narrative,novel,policier,archaique,n.av.,n.av.,heterodiegetic,male,criminal,urban,publicdomain,12,n.av.,1860s
rf0033,rf0033,ErckChat,male,HistoirePaysan2,1869,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1860s
rf0656,rf0656,Ohnet,male,GrandeMarnière,1885,narrative,novel,blanche,blanche,n.av.,n.av.,heterodiegetic,male,n.av.,rural,publicdomain,11,n.av.,1880s
rf0317,rf0317,AimardAuriac,male,ForestiersMichigan,1879,narrative,novel,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,1870s
rf0658,rf0658,Ohnet,male,Batailles1MarchandPoison,1892,narrative,novel,blanche,blanche,n.av.,n.av.,heterodiegetic,n.av.,n.av.,n.av.,publicdomain,11,n.av.,1890s
rf0348,rf0348,Fleuriot,female,Conge,1874,narrative,novel,blanche,blanche,n.av.,n.av.,autodiegetic,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1870s
rf0470,rf0470,Sand,female,Indiana,1832,narrative,novel,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,1830s
rf0456,rf0456,Sand,female,ElleLui,1859,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1850s
rf0314,rf0314,Aimard,male,ChercheurPistes,1858,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1850s
rf0045,rf0045,Loti,male,MadameChrysantheme,1887,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1880s
rf0132,rf0132,Sue,male,MysteresPeuple03,1850,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1850s
rf0426,rf0426,Mirbeau,male,Marechale,1883,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1880s
rf1170,rf1170,Ponson,male,ExploitsRocambole2,1859,narrative,novel,policier,archaique,n.av.,n.av.,heterodiegetic,male,criminal,urban,publicdomain,12,n.av.,1850s
rf1028,rf1028,Gaboriau,male,EsclavesParis1,1868,narrative,novel,policier,criminel,n.av.,n.av.,heterodiegetic,n.av.,criminal,n.av.,publicdomain,12,n.av.,1860s
rf0569,rf0569,Balzac,male,CousineBette,1846,narrative,novel,blanche,blanche,n.av.,n.av.,heterodiegetic,n.av.,n.av.,n.av.,restricted,1,n.av.,1840s
rf0032,rf0032,ErckChat,male,HistoirePaysan1,1869,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1860s
rf0093,rf0093,Zola,male,DocteurPascal,1893,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1890s
rf0480,rf0480,Stolz,female,MaisonBlanche,1884,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1880s
rf0567,rf0567,Balzac,male,Pierrette,1840,narrative,novel,blanche,blanche,n.av.,n.av.,heterodiegetic,n.av.,n.av.,n.av.,restricted,1,n.av.,1840s
rf0465,rf0465,Sand,female,SecretaireIntime,1834,narrative,novel,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,1830s
rf0020,rf0020,Daudet,male,PetitChose,1867,narrative,novel,blanche,education,n.av.,n.av.,autodiegetic,male,n.av.,mixed,publicdomain,11,n.av.,1860s
rf0631,rf0631,FevalPP,male,HabitsNoirs5Maman,1869,narrative,novel,policier,crime,n.av.,n.av.,heterodiegetic,n.av.,n.av.,n.av.,publicdomain,11,n.av.,1860s
rf0088,rf0088,Verne,male,Chancellor,1875,narrative,novel,blanche,n.av.,journal,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,1870s
rf0346,rf0346,Fleuriot,female,TranquilleTourbillon,1880,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1880s
rf0416,rf0416,Malot,male,ClotildeMartory,1873,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1870s
rf1166,rf1166,Ponson,male,DernierMot2,1867,narrative,novel,policier,archaique,n.av.,n.av.,heterodiegetic,male,criminal,urban,publicdomain,12,n.av.,1860s
rf1177,rf1177,Ponson,male,ResurrectionRocambole2,1866,narrative,novel,policier,archaique,n.av.,n.av.,heterodiegetic,male,criminal,urban,publicdomain,12,n.av.,1860s
rf0017,rf0017,Daudet,male,Jack,1875,narrative,novel,blanche,education,moeurs,n.av.,heterodiegetic,mixed,n.av.,n.av.,publicdomain,11,n.av.,1870s
rf0562,rf0562,Balzac,male,AlbertSavarus,1842,narrative,novel,blanche,blanche,n.av.,n.av.,heterodiegetic,n.av.,n.av.,n.av.,restricted,1,n.av.,1840s
rf0171,rf0171,Verne,male,KerabanTetu,1883,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1880s
rf0306,rf0306,Aimard,male,BohèmesMer,1865,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1860s
rf0167,rf0167,Verne,male,FamilleSansNom,1889,narrative,novel,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,1880s
rf0100,rf0100,Zola,male,Assommoir,1877,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1870s
rf0147,rf0147,Mirbeau,male,SebastienRoch,1890,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1890s
rf0462,rf0462,Sand,female,ChateauDesertes,1851,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1850s
rf0617,rf0617,FevalPP,male,MadameGilBlas,1856,narrative,novel,blanche,other,n.av.,souvenirs et aventures,homodiegetic,female,n.av.,n.av.,publicdomain,11,n.av.,1850s
rf0616,rf0616,FevalPP,male,Louve2,1856,narrative,novel,blanche,blanche,n.av.,n.av.,heterodiegetic,female,n.av.,n.av.,publicdomain,11,n.av.,1850s
rf0463,rf0463,Sand,female,Andre,1835,narrative,novel,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,1830s
rf0377,rf0377,Gouraud,male,CousineMarie,1878,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1870s
