,idno,author,gender,title,year,supergenre,genre,subgenre,genre-label,genre-subtitle,narration,availability,decade
rd0167,rd0167,Verne,male,FamilleSansNom,1889,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1880s
rd0475,rd0475,Stolz,female,ViolenceBonté,1888,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1880s
rd0723,rd0723,Balzac,male,Lambert,1832,narrative,roman,fantastique,n.av.,n.av.,n.av.,publicdomain,1830s
rd0658,rd0658,Ohnet,male,Batailles1MarchandPoison,1892,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,publicdomain,1890s
rd1156,rd1156,Gaboriau,male,VieInfernale1,1870,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,1870s
rd0139,rd0139,Sue,male,MysteresPeuple11,1854,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1850s
rd0472,rd0472,Sand,female,PetiteFadette,1849,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1840s
rd0718,rd0718,Rodenbach,male,BrugesLaMorte,1892,narrative,novel,blanche,n.av.,n.av.,n.av.,restricted,1890s
rd0304,rd0304,Aimard,male,RoisOcean2Olonnais,1877,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd0049,rd0049,Loti,male,Ramuntcho,1897,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1890s
rd0060,rd0060,Zola,male,Oeuvre,1886,narrative,novel,blanche,Künstlerroman,n.av.,heterodiegetic,publicdomain,1880s
rd0312,rd0312,Aimard,male,PiratesPrairies,1858,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1850s
rd0041,rd0041,Flaubert,male,Education,1869,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1860s
rd1024,rd1024,Gaboriau,male,CliqueDoree2,1871,narrative,novel,blanche,Gesellschaftsroman,n.av.,heterodiegetic,publicdomain,1870s
rd0622,rd0622,FevalPP,male,Quittance2Galerie,1846,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,publicdomain,1840s
rd0310,rd0310,Aimard,male,ChasseurRats2CommDelgres,1877,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd0446,rd0446,Sand,female,MeunierAngibault,1845,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1840s
rd0095,rd0095,Zola,male,FortuneRougon,1870,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd0020,rd0020,Daudet,male,PetitChose,1867,narrative,novel,blanche,n.av.,n.av.,autodiegetic,publicdomain,1860s
rd0646,rd0646,France,male,MannequinOsier,1897,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,publicdomain,1890s
rd0306,rd0306,Aimard,male,BohèmesMer,1865,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1860s
rd0106,rd0106,Boisgobey,male,BandeRouge1,1886,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1880s
rd0135,rd0135,Sue,male,MysteresPeuple07,1851,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1850s
rd0054,rd0054,Maupassant,male,MontOriol,1887,narrative,novel,blanche,Gesellschaftsroman,n.av.,heterodiegetic,publicdomain,1880s
rd1178,rd1178,Ponson,male,ResurrectionRocambole3,1866,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,1860s
rd0609,rd0609,FevalPP,male,FeeGreves,1850,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1850s
rd0641,rd0641,Hugo,male,Miserables1Fantine,1862,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,publicdomain,1860s
rd0082,rd0082,Verne,male,AutourLune,1869,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1860s
rd0410,rd0410,Malot,male,SansFamille,1878,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd0302,rd0302,Aimard,male,TrappeursArkansas,1858,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1850s
rd0029,rd0029,ErckChat,male,DeuxFreresRantzau,1873,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd1176,rd1176,Ponson,male,ResurrectionRocambole1,1866,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,1860s
rd0028,rd0028,ErckChat,male,ChefChantier,1876,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd0367,rd0367,Gouraud,male,ChezGrandMere,1882,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1880s
rd0618,rd0618,FevalPP,male,MaisonPilate,1859,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1850s
rd0607,rd0607,FevalPP,male,ErrantsNuit,1857,narrative,novel,policier,n.av.,n.av.,n.av.,publicdomain,1850s
rd0469,rd0469,Sand,female,LeoneLeoni,1834,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1830s
rd0002,rd0002,Aurevilly,male,Ensorcelée,1852,narrative,roman,fantastique,n.av.,n.av.,homodiegetic,publicdomain,1850s
rd0007,rd0007,Dumas,male,ColliersVelours,1850,narrative,roman,fantastique,n.av.,n.av.,n.av.,publicdomain,1850s
rd0567,rd0567,Balzac,male,Pierrette,1840,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,restricted,1840s
rd0657,rd0657,Ohnet,male,AmePierre,1890,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1890s
rd0441,rd0441,Sand,female,Simon,1836,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1830s
rd0614,rd0614,FevalPP,male,HommeSansBras,1881,narrative,novel,policier,n.av.,n.av.,n.av.,publicdomain,1880s
rd0016,rd0016,Daudet,male,Evangeliste,1882,narrative,novel,blanche,roman-de-moeurs,roman,heterodiegetic,publicdomain,1880s
rd0483,rd0483,Stolz,female,FamilleCoquelicot,1892,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1890s
rd0405,rd0405,Loti,male,Matelot,1893,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1890s
rd0443,rd0443,Sand,female,Rudolstadt1,1843,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1840s
rd0320,rd0320,AimardAuriac,male,TerresOr,1879,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd1155,rd1155,Gaboriau,male,CrimeOrcival,1866,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,1860s
rd0099,rd0099,Zola,male,PageAmour,1878,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd0345,rd0345,Dombre,female,Nounou,1890,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1890s
rd0108,rd0108,Boisgobey,male,MainFroide,1889,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1880s
rd1025,rd1025,Gaboriau,male,Degringolade1,1872,narrative,novel,policier,n.av.,n.av.,n.av.,publicdomain,1870s
rd1161,rd1161,Ponson,male,ClubValets1,1858,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,1850s
rd0422,rd0422,Mary,male,Pocharde,1898,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1890s
rd0377,rd0377,Gouraud,male,CousineMarie,1878,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd0473,rd0473,Sand,female,DerniereAldini,1837,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1830s
rd0015,rd0015,Verne,male,Sphinx,1897,narrative,roman,fantastique,n.av.,n.av.,n.av.,publicdomain,1890s
rd0617,rd0617,FevalPP,male,MadameGilBlas,1856,narrative,novel,blanche,n.av.,souvenirs et aventures,homodiegetic,publicdomain,1850s
rd0025,rd0025,ErckChat,male,AmiFritz,1864,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1860s
rd0364,rd0364,Gautier,male,RomanMomie,1858,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1850s
rd0003,rd0003,Gautier,male,RomanMomie,1857,narrative,roman,fantastique,roman,n.av.,heterodiegetic,publicdomain,1850s
rd1172,rd1172,Ponson,male,MiseresLondres1,1868,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,1860s
rd0023,rd0023,Daudet,male,Tartarin1,1872,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd0051,rd0051,Loti,male,RomanSpahi,1881,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1880s
rd0043,rd0043,Loti,male,Aziyade,1879,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd1008,rd1008,Boisgobey,male,Voilette,1885,narrative,novel,policier,Kriminalroman,n.av.,heterodiegetic,publicdomain,1880s
rd0380,rd0380,Gouraud,male,MemoiresCaniche,1866,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1860s
rd0471,rd0471,Sand,female,FrancoisChampi,1848,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1840s
rd0010,rd0010,Ponson,male,Baronne,1852,narrative,roman,fantastique,n.av.,n.av.,n.av.,publicdomain,1850s
rd0484,rd0484,Stolz,female,DessusHaie,1874,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd0415,rd0415,Malot,male,Conscience,1888,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1880s
rd0615,rd0615,FevalPP,male,LoupBlanc,1843,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1840s
rd0571,rd0571,Balzac,male,TenebreuseAffaire,1841,narrative,novel,policier,n.av.,n.av.,heterodiegetic,restricted,1840s
rd0627,rd0627,FevalPP,male,MysteresLondres2,1843,narrative,novel,policier,n.av.,n.av.,n.av.,publicdomain,1840s
rd0058,rd0058,Zola,male,Germinal,1885,narrative,novel,blanche,Gesellschaftsroman,n.av.,heterodiegetic,publicdomain,1880s
rd1005,rd1005,Boisgobey,male,Omnibus,1881,narrative,novel,policier,Detektivroman,n.av.,heterodiegetic,publicdomain,1880s
rd0027,rd0027,ErckChat,male,CampagneKabylie,1873,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd0453,rd0453,Sand,female,Lelia,1833,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1830s
rd0610,rd0610,FevalPP,male,FilsDiable1,1846,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,publicdomain,1840s
rd0368,rd0368,Gouraud,male,AllerRetour,1880,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1880s
rd0450,rd0450,Sand,female,LucreziaFloriani,1846,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1840s
rd0562,rd0562,Balzac,male,AlbertSavarus,1842,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,restricted,1840s
rd0643,rd0643,Hugo,male,Miserables3Marius,1862,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,publicdomain,1860s
rd0100,rd0100,Zola,male,Assommoir,1877,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd0727,rd0727,Gay,female,Ellénore,1844,narrative,roman,blanche,n.av.,n.av.,n.av.,restricted,1840s
rd0371,rd0371,Gouraud,male,QuatrePiecesOr,1874,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd0350,rd0350,Fleuriot,female,Alberte,1881,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1880s
rd0625,rd0625,FevalPP,male,VilleVampire,1875,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd0017,rd0017,Daudet,male,Jack,1875,narrative,novel,blanche,moeurs,n.av.,heterodiegetic,publicdomain,1870s
rd1007,rd1007,Boisgobey,male,Opera2,1889,narrative,novel,policier,Detektivroman,n.av.,heterodiegetic,publicdomain,1880s
rd0040,rd0040,Flaubert,male,MadameBovary,1857,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1850s
rd0452,rd0452,Sand,female,Jeanne,1844,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1840s
rd0612,rd0612,FevalPP,male,HabitsNoirs4Arme,1869,narrative,novel,policier,n.av.,n.av.,n.av.,publicdomain,1860s
rd0463,rd0463,Sand,female,Andre,1835,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1830s
rd1199,rd1199,Boisgobey,male,MainFroide,1889,narrative,novel,policier,n.av.,n.av.,n.av.,publicdomain,1880s
rd0411,rd0411,Malot,male,Ghislaine,1887,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1880s
rd0636,rd0636,FevalPP,male,Louve1,1855,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,publicdomain,1850s
rd0092,rd0092,Zola,male,Curee,1872,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd0644,rd0644,Hugo,male,Miserables4Idylle,1862,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,publicdomain,1860s
rd0621,rd0621,FevalPP,male,Quittance1Heritiere,1846,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1840s
rd0477,rd0477,Stolz,female,DeuxReines,1881,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1880s
rd0468,rd0468,Sand,female,Mauprat,1837,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1830s
rd0037,rd0037,ErckChat,male,MadameTherese,1863,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1860s
rd0347,rd0347,Fleuriot,female,EnfantGate,1877,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd0375,rd0375,Gouraud,male,PetiteGrande,1873,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd0344,rd0344,Dombre,female,Folla,1889,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1880s
rd1150,rd1150,Gaboriau,male,AmoursEmpoisonneuse,1881,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,1880s
rd0721,rd0721,Villiers,male,EveFuture,1886,narrative,roman,fantastique,n.av.,n.av.,n.av.,publicdomain,1880s
rd0465,rd0465,Sand,female,SecretaireIntime,1834,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1830s
rd0018,rd0018,Daudet,male,Nabab,1877,narrative,novel,blanche,roman de moeurs,n.av.,heterodiegetic,publicdomain,1870s
rd0137,rd0137,Sue,male,MysteresPeuple09,1853,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1850s
rd0169,rd0169,Verne,male,IleMysterieuse,1875,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd0458,rd0458,Sand,female,DernierAmour,1866,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1860s
rd0014,rd0014,Verne,male,HectorServadac,1877,narrative,roman,fantastique,n.av.,n.av.,n.av.,publicdomain,1870s
rd1006,rd1006,Boisgobey,male,Opera1,1889,narrative,novel,policier,Detektivroman,n.av.,heterodiegetic,publicdomain,1880s
rd1167,rd1167,Ponson,male,DernierMot3,1867,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,1860s
rd0624,rd0624,FevalPP,male,RoiGueux,1859,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1850s
rd0447,rd0447,Sand,female,Marianne,1875,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd1171,rd1171,Ponson,male,ExploitsRocambole3,1859,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,1850s
rd0005,rd0005,Balzac,male,Séraphita,1834,narrative,roman,fantastique,n.av.,n.av.,n.av.,publicdomain,1830s
